token,freq,df,sample,weight
austin,367,361,"The First Round matches of the 1996 King of the Ring are underway featuring Stone Cold Steve Austin, Jake 'The Snake' Roberts, and more.",0
come,363,356,"Tall tales come to life with a king, a mermaid and so much more as Gabby and the gang create and celebrate enchanting fairytales in a storyb",0
daniel,361,344,"WWE Champion The Miz goes one-on-one with United States Champion Daniel Bryan, his former NXT pupil.",0
jericho,360,352,Triple H's aspirations of becoming WWE Champion are put in jeopardy when Chyna makes an unexpected demand. Commissioner Shawn Michaels does,0
intercontinental,359,346,"Love is in the air as two members of the WWE Universe get engaged. Lex Luger and Crush battle it out, but what happens when several Doink th",0
heavyweight,358,342,"In retaliation for Stephanie McMahon making Brock Lesnar and his Undisputed Championship exclusive to the SmackDown brand, Raw General Manag",0
finally,355,346,"Gi-hun finally gets hold of an invitation, marked for Halloween day. In a tense moment facing Jun-ho, they reveal their truths to each other",1
special,355,347,Gabby and Pandy receive special sashes and start their journey as kitty rangers! Can they use their new skills to solve a missing mama myste,0
however,354,348,"With Sakuta's help, Kaede is able to go to school at night. She is now enthusiastic about heading to school during the day. However, on the ",0
michael,354,292,"The Rock hosts a funeral for the career of WWE Champion ""Stone Cold"" Steve Austin. With Stephanie by his side, Mr. McMahon sits down with Mi",0
mysterio,353,342,"In the wake of the sudden and tragic passing of Eddie Guerrero, Superstars from both Raw and SmackDown come together to mourn the loss of La",0
kofi,353,336,CM Punk uses his Money in the Bank Contract to challenge Edge for the World Heavyweight Championship. After capturing the Intercontinental C,0
kingston,351,334,CM Punk uses his Money in the Bank Contract to challenge Edge for the World Heavyweight Championship. After capturing the Intercontinental C,0
home,349,340,"After agreeing to harbor an abandoned cat, Sakuta finds himself welcoming a look-alike to his old school crush into his home. This does not ",0
battles,347,339,The Premiere episode of Monday Night Raw. The Undertaker battles Damien Demento in Raw's first-ever main event. Shawn Michaels competes.,0
george,346,311,"It's raining and Peppa is sad because she can't play outside. When the rain stops, Peppa and George get to play one of their favourite games",0
secret,340,335,"Mummy Pig gives Peppa a box, which has to be kept a secret.",0
seth,339,314,"Episode #845

""Raw"" guest host Seth Green teams up with John Cena & Triple H to take on Legacy.",0
sheldon,339,315,9-year-old Sheldon Cooper is a once-in-a-generation mind capable of advanced mathematics and science but learns that isn’t always helpful gr,0
it's,337,324,"It's time to light up the night with a glow-in-the-dark delivery; Gabby, Pandy and DJ Catnip get to work on a train-building project.",0
try,337,333,George enjoys seeing his reflection in the mirror so much that he and Peppa try to find other shiny things to see themselves in.,0
sheamus,337,330,Triple H goes one-on-one with Chris Jericho; Sheamus takes on Santino Marella.,0
girls,336,214,"Puberty syndrome – Abnormal experiences rumored on the internet to be caused by sensitivity and instability during adolescence. This year, S",0
relationship,336,325,"On this episode of Monday Night Raw, the fallout from WrestleMania XI! Shawn Michaels' relationship with Sid takes a turn.",0
rey,336,330,"In the wake of the sudden and tragic passing of Eddie Guerrero, Superstars from both Raw and SmackDown come together to mourn the loss of La",0
death,336,314,"While the WWE Universe buzzes over the investigation into Mr. McMahon's alleged death in a mysterious limo explosion, Stephanie McMahon vows",-3
miz,336,316,Raw General Manager and current King of the Ring William Regal orders Mr. Kennedy and WWE Champion Triple H to team up against the entire EC,0
rollins,336,308,"Big Show vs Seth Rollins
Daniel Bryan vs Dolph Ziggler
Mark Henry vs Kofi Kingston
Ryback vs Heath Slater
Alberto Del Rio vs Antonio Cesaro
",0
found,335,321,"Upon searching the hashtag #DREAMING, numerous posts were found about attending a middle school reunion on November 27th. Ikumi also dreamt ",0
jimmy,334,314,"As Monday Night RAW unveils a brand new look, Bret Hart battles Hakushi, Shawn Michaels takes on Jimmy Del Ray, and much more.",0
stop,332,324,"Next stop: Birthday Island! In honor of Pandy’s big day, Gabby prepares a heartfelt gift, and the dollhouse friends celebrate with a series ",0
red,332,298,"Peppa loses her shoes, but she gets new red ones, making her happy again.",0
leads,327,321,A sparkly Meow Meow Mailbox surprise leads to a mysterious dollhouse mix-up. Can Gabby and the kitties find a fix... and some bubbly fun?,0
rhodes,327,308,Several RAW Superstars compete in Beat the Clock Matches for an opportunity to challenge John Cena for the WWE Championship at The Great Ame,0
looks,326,316,"Peppa looks after Madame Gazelle's guinea pigs Ginger and Brian while she goes on holiday, but prove to be more trouble for Mummy and Daddy ",0
woman,326,295,"Another woman comes forward with allegations that further discredit WWE Champion Shawn Michaels. Plus, The Undertaker, Goldust, and more.",0
just,325,319,"Split on whether to continue or quit, the group holds a vote. But their realities in the outside world may prove to be just as unforgiving a",0
edge,325,310,"Following his loss to Stone Cold Steve Austin at Over The Edge, Dude Love looks to leave the WWE for the good of mankind. The Undertaker mak",0
game,324,308,"Hoping to win easy money, a broke and desperate Gi-hun agrees to take part in an enigmatic game. Not long into the first round, unforeseen h",0
young,321,307,"Baby Alexander is too young to talk, until Peppa teaches him his first word.",0
cody,320,313,Several RAW Superstars compete in Beat the Clock Matches for an opportunity to challenge John Cena for the WWE Championship at The Great Ame,0
island,318,287,"Jun-ho and his team prepare to infiltrate a suspicious island. As monetary stakes and tensions rise, players split into two opposing faction",0
wants,316,306,"When Gabby receives a fishbowl in her Meow Meow Mailbox, CatRat wants to use it as a home for his itty bitty kittyfish. But they keep hiding",0
together,315,304,"Puberty syndrome – Abnormal experiences rumored on the internet to be caused by sensitivity and instability during adolescence. This year, S",1
turns,313,310,Gi-hun and his team take turns keeping guard through the night. The masked men encounter trouble with their co-conspirators.,0
straw,313,280,"Enraged by the actions of Buggy's crew, the city's mayor rushes to fight Buggy himself, but the Straw Hat Pirates come to his rescue. Zoro f",0
continues,312,300,"Unable to deal with a commercial filming well as the actress Mai Sakurajima, Nodoka gradually starts to feel a strong sense of inferiority. ",0
returns,312,307,"With Sakuta's help, Kaede is able to go to school at night. She is now enthusiastic about heading to school during the day. However, on the ",0
lemmings,310,250,"Freed by the thawing ice, a mysterious giant egg slides up to the front door of the log cabin. The Lemmings watch the hatching of large baby",0
attack,307,294,"A poltergeist-like phenomenon attacks Ikumi. Sakuta is worried the attack was caused by Puberty Syndrome, but Ikumi claims that the only way",-1
grizzy,306,248,"Freed by the thawing ice, a mysterious giant egg slides up to the front door of the log cabin. The Lemmings watch the hatching of large baby",0
next,304,287,"A few players enter the next round — which promises equal doses of sweet and deadly — with hidden advantages. Meanwhile, Jun-ho sneaks his w",0
shawn,304,302,The Premiere episode of Monday Night Raw. The Undertaker battles Damien Demento in Raw's first-ever main event. Shawn Michaels competes.,0
ncis,303,287,"When Penny’s big acting break on NCIS is a bust, Leonard struggles to help her, which results in Penny asking Leonard a bold relationship qu",0
peppa,297,263,"It's raining and Peppa is sad because she can't play outside. When the rain stops, Peppa and George get to play one of their favourite games",0
angle,296,286,"Stephanie McMahon and Test plan to tie the knot and spend the rest of their lives in wedded bliss, but Triple H doesn't hold his peace. Kane",0
final,294,264,"The final round presents another cruel test — but this time, how it ends depends on just one player. The game's creator steps out of the sha",0
search,294,288,"A vengeful Gi-hun makes a U-turn at the airport. Later, in his hideout, he intensifies his search for the elusive recruiter who is seeking n",0
kurt,294,289,"Stephanie McMahon and Test plan to tie the knot and spend the rest of their lives in wedded bliss, but Triple H doesn't hold his peace. Kane",0
discovers,293,291,"Daddy Pig takes Peppa and George to school on their scooters. When he decides that it would be quicker to ride back, he discovers that ridin",-1
learns,291,283,"Puberty syndrome – Abnormal experiences rumored on the internet to be caused by sensitivity and instability during adolescence. This year, S",0
bryan,291,271,"WWE Champion The Miz goes one-on-one with United States Champion Daniel Bryan, his former NXT pupil.",0
begins,289,281,"Upon inducing a case of ""Puberty Syndrome"" where two copies of herself exists, Rio ends up staying at Sakuta's house for the time being. Mea",0
bella,289,162,"The November 3, 2008 Edition of RAW is a Professional wrestling television show of the WWE's RAW brand, which took place on November 3, 2008",0
mysterious,288,286,A sparkly Meow Meow Mailbox surprise leads to a mysterious dollhouse mix-up. Can Gabby and the kitties find a fix... and some bubbly fun?,0
michaels,285,283,The Premiere episode of Monday Night Raw. The Undertaker battles Damien Demento in Raw's first-ever main event. Shawn Michaels competes.,0
city,284,261,"""Stone Cold"" Steve Austin crashes a special ceremony for Mr. McMahon. As DX visits to New York City, the New Age Outlaws defend the WWE Tag ",0
now,283,267,"It is now the last day of the first term, the promised day when pretending to be dating Tomoe ends. It seems as though everything has finall",0
live,282,269,"Sakuta sees a familiar Miniskirt Santa on a beauty pageant website that his friend Takumi Fukuyama was looking at. However, he notices that ",0
away,281,275,Fun is only a snapshot away as Gabby and Pandy set out to take a group photo — and make time for a picture-perfect scavenger hunt!,0
charlotte,281,264,"Tonight's episode of Raw is being broadcast live from the Bon Secours Wellness Arena in Greenville, SC. The scheduled matches for tonight’s ",0
even,278,270,"Even as Gi-hun supports Jun-hee amid rising tensions, she must make a pivotal decision. Before the final game, the Front Man gives Gi-hun an",0
news,276,272,WWE Champion Bret Hart and European Champion the British Bulldog challenge The Headbangers for the Tag Team Championship. Jerry Lawler recei,0
one-on-one,275,274,"Scott Steiner goes one-on-one with Ludvig Borga, and Men on a Mission are in tag team action.",0
through,274,265,Gi-hun and his team take turns keeping guard through the night. The masked men encounter trouble with their co-conspirators.,0
return,274,268,"Even after leaving Fujisawa for Ogaki, not one person remembered anything about Mai Sakurajima. Sakuta and Mai return to school together, bu",0
decides,273,267,"Upon inducing a case of ""Puberty Syndrome"" where two copies of herself exists, Rio ends up staying at Sakuta's house for the time being. Mea",0
becomes,273,271,"While celebrate firing ""Stone Cold"" Steve Austin, Mr. McMahon becomes the hunted as the Rattlesnake looks to strike back at his former emplo",0
things,271,266,"Upon searching the hashtag #DREAMING, numerous posts were found about attending a middle school reunion on November 27th. Ikumi also dreamt ",0
hats,269,248,"It is a cold and windy day so Peppa, George, Mummy Pig and Daddy Pig wear their hats and scarves and coats to the park.",0
jerry,269,235,"Jerry ""The King"" Lawler squares off against Jim Powers. The Beverly Brothers battle The Steiner Brothers in tag team action. Virgil faces Ba",0
hardy,269,256,Razor Ramon and Diesel collide with each man being cornered by their respective Survivor Series teams. I.R.S. Faces Matt Hardy and more.,0
united,269,266,Bret Hart discusses his recent change in attitude and sends a message to his fans in the United States. As The Undertaker looks to usher in,0
states,267,265,Bret Hart discusses his recent change in attitude and sends a message to his fans in the United States. As The Undertaker looks to usher in,0
guerrero,267,238,The WWE Championship is back around the waist of Triple H due to the officiating of Shawn Michaels. Former champion The Rock goes on a quest,0
center,266,262,Ready. Set. Compete! CatRat takes center stage and hosts a series of dazzling dollhouse games. Will the crew win enough tickets to take home,0
too,265,258,"A pumpkin lantern made of glass comes crashing down in a plaza in front of Sakuragicho Station, just as a social media post with the hashtag",0
both,264,255,"Daddy Pig takes Peppa and George to school on their scooters. When he decides that it would be quicker to ride back, he discovers that ridin",0
last,263,261,"Ahead of the last round, distrust and disgust run deep among the finalists. Jun-ho makes a getaway, determined to expose the game's dirty se",0
great,263,258,Peppa Pig and George decide it is a great day to go and ride bicycles while Daddy Pig is admiring a prize-winning pumpkin he has. However Pe,3
amy,263,246,"Paired up by a dating program that puts an expiration date on all relationships, Frank and Amy soon begin to question the system's logic.",0
naruto,262,148,"Welcome to the Village Hidden in the Leaves, where deadly serious Ninja roam the landscape and the seriously mischievous Naruto Uzumaki caus",0
put,261,257,"Daddy Pig decides to put up a picture of Peppa and George on the wall, but accidentally cracks the wall while doing it.",0
father,260,249,"Peppa and George pay a visit to Father Christmas. Peppa asks for a very special doll as a present, but will Santa be able to deliver it to h",0
plans,258,254,"No-eul tries to gain the upper hand in negotiations, but her plans backfire. Gi-hun faces a moral crossroads, testing his limits — how far w",0
women,257,230,When Shelton Benjamin challenges Triple H to a rematch from the previous edition of Monday Night RAW in effort to prove that his victory was,0
wrestlemania,255,233,"With Wrestlemania IX just a few weeks away, Bret ""The Hitman"" Hart competes against Fatu. Doink The Clown battles ""The Birdman"" Koko B. Ware",0
dean,254,237,"Dean Douglas challenges Razor Ramon for the Intercontinental Title. King Mabel joins The Brother Love Show. Plus, Fatu, Sycho Sid, and more.",0
investigation,254,246,"Commissioner Mick Foley begins an investigation into who was behind ""Stone Cold"" Steve Austin's hit and run assault at last year's Survivor ",0
each,253,245,"Gi-hun finally gets hold of an invitation, marked for Halloween day. In a tense moment facing Jun-ho, they reveal their truths to each other",0
mark,253,243,"Goldust challenges Shawn Michaels for the WWE Championship in the main event. Plus, Mark Henry receives his first challenge, and much more!",0
forced,253,249,"With The Undertaker reluctantly aligned with Paul Bearer, Sycho Sid challenges him for his WWE Championship. The rivalry between Shawn Micha",0
crew,252,234,Ready. Set. Compete! CatRat takes center stage and hosts a series of dazzling dollhouse games. Will the crew win enough tickets to take home,0
robin,252,219,"Luffy fights Crocodile with more success this time by using water, but still loses this round. Meanwhile, the other Straw Hats hurry to loca",0
reveals,251,247,"Sakuta has a dream that Mai reveals herself as the true identity of Touko Kirishima at a music festival held on April 1st. At the same time,",0
rescue,250,247,Cupcake expert Cakey helps Gabby and Pandy shrink down a giant cupcake tree to rescue CatRat and the Gabby Cats from its overgrown branches.,2
order,249,241,"Sakuta had been unable to see Mai, who was not only busy with work but had an order from her agency forbidding her from going on dates. The ",0
turn,249,248,"Lights, camera, CatRat! Gabby and the gang help turn a beloved fairy tale into a movie and get crafty with costumes, props and sound effects",0
dead,248,227,The line between the living and the dead blurs on Halloween. Two of the house's previous residents give the Harmons decorating advice.,-3
end,247,243,"Richard Rabbit comes to play with George, while Suzy Sheep plays with Peppa. They all end up jumping up and down in muddy puddles.",0
school,246,231,"Puberty syndrome – Abnormal experiences rumored on the internet to be caused by sensitivity and instability during adolescence. This year, S",0
unexpected,246,245,"Upon inducing a case of ""Puberty Syndrome"" where two copies of herself exists, Rio ends up staying at Sakuta's house for the time being. Mea",0
former,246,241,A Miniskirt Santa suddenly appears before Sakuta. She says her name is “Touko Kirishima” and claims to have been handing out Puberty Syndrom,0
keep,246,241,"A fuzzy delivery contains a cuddly surprise for Baby Box. In the dollhouse, Gabby and Pandy attempt to keep up with some cute and crafty cri",0
job,246,235,Peppa and George are playing in the garden with their bouncy ball when Suzy Sheep turns up with two tennis rackets. She uses the bouncy ball,0
royal,246,241,"After his match with El Matador, Ric Flair issues a career changing challenge to Mr. Perfect for Raw next week. WWE Champion Bret Hitman Har",0
henry,246,223,"Bob 'Spark Plugg' Holly and 1-2-3 Kid get a shot at the WWE Tag Team Championships. Plus, Doink the Clown, Henry Godwinn, and more.",0
officer,245,184,Police Officer Panda and Police Officer Squirrel have come to visit Peppa’s playgroup. They offer two lucky children the chance to spend the,0
force,245,238,"Following ""Stone Cold"" Steve Austin's reinstatement, Mr. McMahon is stunned to realize his rivalry with Austin has become a family matter. H",0
